interest,time_availability,goal,recommended_skill,match_score,duration
Working with hands,1-2 hours,Earn a side income from home,Basic Tailoring & Stitching,95,2 Months
Working with hands,1-2 hours,Start my own micro-business,Boutique Management,88,3 Months
Working with hands,1-2 hours,Find a local full-time job,Industrial Stitching,82,1 Month
Working with hands,1-2 hours,Gain digital literacy,Craft Design with Apps,78,1 Month
Working with hands,3-4 hours,Earn a side income from home,Advanced Embroidery & Design,96,3 Months
Working with hands,3-4 hours,Start my own micro-business,Garment Business Startup,92,4 Months
Working with hands,3-4 hours,Find a local full-time job,Textile Quality Checking,85,2 Months
Working with hands,3-4 hours,Gain digital literacy,Digital Pattern Making,80,2 Months
Working with hands,Full time,Earn a side income from home,Master Tailor Certification,97,6 Months
Working with hands,Full time,Start my own micro-business,Fashion Design Diploma,94,6 Months
Working with hands,Full time,Find a local full-time job,Factory Supervision Training,89,3 Months
Working with hands,Full time,Gain digital literacy,CAD for Garments,84,3 Months
Working with hands,Weekends only,Earn a side income from home,Weekend Craft Workshop,90,2 Months
Working with hands,Weekends only,Start my own micro-business,Handicraft Marketing,86,2 Months
Working with hands,Weekends only,Find a local full-time job,Skill Assessment Prep,76,1 Month
Working with hands,Weekends only,Gain digital literacy,Smartphone Basics for Artisans,74,2 Weeks
Interacting with people,1-2 hours,Earn a side income from home,Community Health Worker,91,3 Months
Interacting with people,1-2 hours,Start my own micro-business,Beauty Parlour Basics,89,2 Months
Interacting with people,1-2 hours,Find a local full-time job,Customer Service Training,85,1 Month
Interacting with people,1-2 hours,Gain digital literacy,Social Media Management,82,1 Month
Interacting with people,3-4 hours,Earn a side income from home,Tuition Teaching Skills,93,2 Months
Interacting with people,3-4 hours,Start my own micro-business,Salon & Spa Management,90,4 Months
Interacting with people,3-4 hours,Find a local full-time job,Retail Sales Training,87,1 Month
Interacting with people,3-4 hours,Gain digital literacy,Digital Marketing Basics,84,2 Months
Interacting with people,Full time,Earn a side income from home,ASHA Worker Training,95,4 Months
Interacting with people,Full time,Start my own micro-business,Event Planning Certificate,92,3 Months
Interacting with people,Full time,Find a local full-time job,Front Office Management,88,3 Months
Interacting with people,Full time,Gain digital literacy,Content Creation Course,86,2 Months
Interacting with people,Weekends only,Earn a side income from home,Mehendi & Makeup Artist,88,3 Months
Interacting with people,Weekends only,Start my own micro-business,Network Marketing Skills,84,1 Month
Interacting with people,Weekends only,Find a local full-time job,Interview Preparation,80,2 Weeks
Interacting with people,Weekends only,Gain digital literacy,WhatsApp Business Setup,78,1 Week
Organizing things and data,1-2 hours,Earn a side income from home,Data Entry Operator,88,1 Month
Organizing things and data,1-2 hours,Start my own micro-business,Bookkeeping Basics,85,2 Months
Organizing things and data,1-2 hours,Find a local full-time job,Office Assistant Training,82,1 Month
Organizing things and data,1-2 hours,Gain digital literacy,MS Office & Tally,90,2 Months
Organizing things and data,3-4 hours,Earn a side income from home,Freelance Data Processing,92,2 Months
Organizing things and data,3-4 hours,Start my own micro-business,Accounting & GST Filing,89,3 Months
Organizing things and data,3-4 hours,Find a local full-time job,Banking Correspondent,86,2 Months
Organizing things and data,3-4 hours,Gain digital literacy,Advanced Spreadsheets,84,1 Month
Organizing things and data,Full time,Earn a side income from home,Medical Transcription,94,4 Months
Organizing things and data,Full time,Start my own micro-business,Tax Consultancy Basics,91,4 Months
Organizing things and data,Full time,Find a local full-time job,Government Clerk Prep,88,6 Months
Organizing things and data,Full time,Gain digital literacy,Computer Applications Diploma,92,6 Months
Organizing things and data,Weekends only,Earn a side income from home,Online Survey & Data Jobs,85,2 Weeks
Organizing things and data,Weekends only,Start my own micro-business,E-Commerce Store Setup,83,1 Month
Organizing things and data,Weekends only,Find a local full-time job,Resume & Portfolio Building,79,1 Week
Organizing things and data,Weekends only,Gain digital literacy,Google Workspace Skills,81,2 Weeks
Cooking or Food Prep,1-2 hours,Earn a side income from home,Home Tiffin Service,93,1 Month
Cooking or Food Prep,1-2 hours,Start my own micro-business,Pickle & Papad Making,90,1 Month
Cooking or Food Prep,1-2 hours,Find a local full-time job,Canteen Helper Training,84,2 Weeks
Cooking or Food Prep,1-2 hours,Gain digital literacy,Food Blog & YouTube,80,1 Month
Cooking or Food Prep,3-4 hours,Earn a side income from home,Catering Service Setup,95,2 Months
Cooking or Food Prep,3-4 hours,Start my own micro-business,Food Packaging & FSSAI License,92,3 Months
Cooking or Food Prep,3-4 hours,Find a local full-time job,Hotel Kitchen Assistant,87,2 Months
Cooking or Food Prep,3-4 hours,Gain digital literacy,Swiggy/Zomato Home Chef,83,1 Month
Cooking or Food Prep,Full time,Earn a side income from home,Professional Baking Course,96,4 Months
Cooking or Food Prep,Full time,Start my own micro-business,Restaurant Management,94,6 Months
Cooking or Food Prep,Full time,Find a local full-time job,Industrial Kitchen Training,90,3 Months
Cooking or Food Prep,Full time,Gain digital literacy,Online Food Ordering Platform,86,2 Months
Cooking or Food Prep,Weekends only,Earn a side income from home,Weekend Snack Business,89,1 Month
Cooking or Food Prep,Weekends only,Start my own micro-business,Spice Blending & Packaging,87,2 Months
Cooking or Food Prep,Weekends only,Find a local full-time job,Food Safety Certificate,82,2 Weeks
Cooking or Food Prep,Weekends only,Gain digital literacy,Food Photography Basics,78,1 Week
